iter	Logloss
0	0.683604515
1	0.6755860034
2	0.6688857235
3	0.6601545434
4	0.653634697
5	0.6448964659
6	0.6372003544
7	0.6292442214
8	0.6205661084
9	0.6133594043
10	0.6071605492
11	0.6007733504
12	0.5933061771
13	0.5865668651
14	0.5794906313
15	0.5736215091
16	0.5675482136
17	0.5614996791
18	0.5551217697
19	0.5492768375
20	0.5431189846
21	0.5381068643
22	0.5325590654
23	0.5273985253
24	0.5223539606
25	0.5169193913
26	0.5117012443
27	0.5068824052
28	0.5027807267
29	0.4974645906
30	0.4927425152
31	0.488577496
32	0.4851202048
33	0.4809900661
34	0.4761293851
35	0.4714814776
36	0.4670841699
37	0.4632744791
38	0.4591146294
39	0.4552844501
40	0.4515954535
41	0.448201902
42	0.4449426603
43	0.4409727825
44	0.437553735
45	0.4340009286
46	0.4304856724
47	0.4280233111
48	0.4252530201
49	0.4217067037
50	0.4182191083
51	0.4143789289
52	0.4111584891
53	0.4079321332
54	0.40485918
55	0.4019693852
56	0.3995798356
57	0.3973827338
58	0.3944099824
59	0.3914386857
60	0.3889912706
61	0.3867884848
62	0.3840705883
63	0.381393553
64	0.3794192281
65	0.3772189628
66	0.375592748
67	0.3733078304
68	0.370291185
69	0.3677951612
70	0.3654649151
71	0.3629494504
72	0.3605068112
73	0.3585803906
74	0.3560230345
75	0.3535204339
76	0.3514865679
77	0.3492343003
78	0.3471986426
79	0.345520798
80	0.3437042292
81	0.3415135648
82	0.3390772128
83	0.3374055608
84	0.3357478493
85	0.3338342195
86	0.3323904971
87	0.3306269648
88	0.3286887356
89	0.3270106704
90	0.3253608467
91	0.3235319204
92	0.3218311246
93	0.3206100664
94	0.3189702458
95	0.3174889592
96	0.3164089909
97	0.3144487866
98	0.3129301411
99	0.3116457598
100	0.3102805456
101	0.3092123317
102	0.3077189807
103	0.3069653936
104	0.3053547225
105	0.3041241325
106	0.3030477538
107	0.3020230366
108	0.300795078
109	0.2996292224
110	0.298455655
111	0.2972928104
112	0.2960112928
113	0.2947597329
114	0.2937570179
115	0.2925864965
116	0.2913495724
117	0.2902065103
118	0.2889941748
119	0.288133099
120	0.2870414142
121	0.2859059185
122	0.2848791823
123	0.2838052938
124	0.2828895129
125	0.2817426448
126	0.2807174129
127	0.279944993
128	0.2788277742
129	0.2776897141
130	0.2768124006
131	0.2760473941
132	0.2753748498
133	0.2746915614
134	0.2735925218
135	0.2724894728
136	0.2717404435
137	0.2709504794
138	0.2697171871
139	0.2688245778
140	0.2681247589
141	0.267455179
142	0.2670326606
143	0.2662879895
144	0.2655848784
145	0.2649342685
146	0.264248965
147	0.2636375997
148	0.2626542935
149	0.262217082
150	0.2615110794
151	0.2609631176
152	0.2603834927
153	0.2598800132
154	0.2592597084
155	0.2587901305
156	0.258155361
157	0.2575423287
158	0.2567110904
159	0.2561455775
160	0.2553981936
161	0.2547675378
162	0.2539500704
163	0.2534358333
164	0.2527978224
165	0.252079999
166	0.2516627005
167	0.250870584
168	0.2505010823
169	0.2498090654
170	0.2492451496
171	0.2486744779
172	0.2481424289
173	0.2472753426
174	0.2467975807
175	0.2460057186
176	0.2452001861
177	0.2446895311
178	0.2441906333
179	0.2436399628
180	0.2432538356
181	0.2425656911
182	0.2419022383
183	0.2414945752
184	0.2410927858
185	0.2406042667
186	0.240047734
187	0.2393756867
188	0.238947378
189	0.2379528859
190	0.2373738738
191	0.2369181398
192	0.2363397705
193	0.235770707
194	0.2350977894
195	0.2345195214
196	0.2342168263
197	0.2337878385
198	0.2333759699
199	0.2329120709
200	0.2324406193
201	0.2318031433
202	0.2313414486
203	0.2307683943
204	0.2303348158
205	0.2298851982
206	0.2291914456
207	0.2287452169
208	0.2283573041
209	0.2278524482
210	0.2275127831
211	0.2271083829
212	0.2267332176
213	0.2262971341
214	0.2257265126
215	0.2252106121
216	0.2248664522
217	0.2245242159
218	0.2241216895
219	0.2236359574
220	0.2232557449
221	0.2227538587
222	0.2224182261
223	0.2220085429
224	0.2214664192
225	0.2210522284
226	0.2206825673
227	0.2203673457
228	0.2200080489
229	0.2197144588
230	0.2193348888
231	0.2191766231
232	0.2187489206
233	0.2184048702
234	0.2179934426
235	0.2174930301
236	0.217219729
237	0.2168882148
238	0.2166085557
239	0.2163115456
240	0.2161418102
241	0.2157101132
242	0.2153939385
243	0.2151950731
244	0.2149321602
245	0.214608366
246	0.214213318
247	0.2137820342
248	0.2134120878
249	0.2131841576
250	0.2127835473
251	0.2124581704
252	0.2120719265
253	0.2118712712
254	0.2115367501
255	0.2110667382
256	0.2108308864
257	0.2105684806
258	0.2102868505
259	0.2100323613
260	0.2098305938
261	0.2093767053
262	0.2089776219
263	0.2087180545
264	0.2083581001
265	0.2081499148
266	0.2079032617
267	0.2077560689
268	0.207540558
269	0.2072273132
270	0.206975657
271	0.206613476
272	0.2061794109
273	0.2059497233
274	0.205539129
275	0.2051188359
276	0.204799957
277	0.2045816327
278	0.2043172279
279	0.2040954178
280	0.2037901872
281	0.2033656578
282	0.203039821
283	0.2027464501
284	0.2025541683
285	0.2022075851
286	0.2019494361
287	0.2015962175
288	0.2012651517
289	0.2009197728
290	0.2007264492
291	0.2003765201
292	0.2001913157
293	0.1998163476
294	0.1996610762
295	0.199349594
296	0.199022679
297	0.1988800167
298	0.1986296724
299	0.1983720493
300	0.1980882564
301	0.1977222114
302	0.1974444738
303	0.1972051606
304	0.1968870556
305	0.1966351551
306	0.1964559075
307	0.1962713825
308	0.1958900657
309	0.1957488852
310	0.1952949005
311	0.1949317022
312	0.1945840312
313	0.1943155774
314	0.1941240403
315	0.1937935167
316	0.1935516401
317	0.1932913328
318	0.1930969751
319	0.1927553739
320	0.1925186405
321	0.1923197061
322	0.19202089
323	0.1917156199
324	0.1914663278
325	0.1912874799
326	0.1910100337
327	0.1908346014
328	0.1905406163
329	0.1901891594
330	0.1899852973
331	0.1896609582
332	0.1893637882
333	0.1891184654
334	0.1888556603
335	0.1886060593
336	0.1883828545
337	0.1880014541
338	0.1875466
339	0.1873477567
340	0.1872002436
341	0.1869389066
342	0.186721789
343	0.1864644593
344	0.1860832599
345	0.1858747257
346	0.1857224785
347	0.1853917683
348	0.1851740552
349	0.1850652323
350	0.1848776572
351	0.1847525383
352	0.1846000876
353	0.1843892937
354	0.1841772739
355	0.1838597048
356	0.1835409933
357	0.1833240239
358	0.1830526713
359	0.1828692953
360	0.182579079
361	0.1823474893
362	0.1821466694
363	0.1819754465
364	0.1818785923
365	0.1816384388
366	0.181334772
367	0.1811318448
368	0.1810449633
369	0.1808294717
370	0.1806943754
371	0.1804763038
372	0.1802800834
373	0.1800594453
374	0.1798875702
375	0.1797476851
376	0.1795063381
377	0.1792161905
378	0.1790924673
379	0.1787654197
380	0.1785194367
381	0.1781808693
382	0.1779363905
383	0.1777894448
384	0.1775431769
385	0.177239281
386	0.1769796702
387	0.176814948
388	0.1765876658
389	0.1763319249
390	0.1761637358
391	0.1758849282
392	0.1756989669
393	0.1755565473
394	0.1753096858
395	0.1752131419
396	0.1749451566
397	0.1746758594
398	0.174442764
399	0.1742546888
400	0.1740823282
401	0.1739233913
402	0.1736634716
403	0.1735323459
404	0.1733786724
405	0.1731194378
406	0.1729455132
407	0.172874458
408	0.1726758491
409	0.1724429706
410	0.172186383
411	0.1719610905
412	0.1717206895
413	0.1715347618
414	0.1712961703
415	0.1710944382
416	0.1709096673
417	0.170712708
418	0.1705739515
419	0.1703422851
420	0.1700629289
421	0.1697911722
422	0.1695811497
423	0.1694162137
424	0.1692389024
425	0.1690859152
426	0.1688814287
427	0.1687354147
428	0.1684937528
429	0.1682584603
430	0.1680512969
431	0.1678698938
432	0.1676484195
433	0.1675316511
434	0.1673257171
435	0.167173901
436	0.1670006233
437	0.1668464761
438	0.166573877
439	0.1662788168
440	0.1661266192
441	0.1659251101
442	0.165564341
443	0.1654429916
444	0.1651925244
445	0.1650544406
446	0.1649201919
447	0.1648215286
448	0.1645514716
449	0.1643351888
450	0.1641889408
451	0.1640934607
452	0.1639425221
453	0.1637800837
454	0.1636383788
455	0.1633699896
456	0.1632168595
457	0.1630874106
458	0.1628811324
459	0.1627738125
460	0.1626636543
461	0.1624729563
462	0.1623029247
463	0.1620820959
464	0.1618186898
465	0.1615882261
466	0.1613499777
467	0.1611379038
468	0.1609121845
469	0.1607041587
470	0.1603884586
471	0.1602217275
472	0.160066552
473	0.159838925
474	0.1597492265
475	0.1596226625
476	0.159390799
477	0.1593206571
478	0.1591632897
479	0.1590664851
480	0.1589359861
481	0.1588120682
482	0.158660015
483	0.1583485002
484	0.158279479
485	0.1580708269
486	0.1578663817
487	0.1576743588
488	0.157438566
489	0.1572521963
490	0.1571224879
491	0.1569662924
492	0.1568244098
493	0.1566110686
494	0.1564824802
495	0.1562889674
496	0.1561794988
497	0.1560606846
498	0.155963998
499	0.1558169236
500	0.1556642083
501	0.1554729528
502	0.1552758311
503	0.1549828758
504	0.1546875083
505	0.1544892465
506	0.1542931915
507	0.1541612663
508	0.1538968342
509	0.15368322
510	0.1534689353
511	0.1533262262
512	0.1531845546
513	0.1530382145
514	0.1527910231
515	0.1526854683
516	0.1525087149
517	0.1522604331
518	0.1521168853
519	0.1520023837
520	0.1518497729
521	0.1517125157
522	0.1516533886
523	0.1515008111
524	0.1513715392
525	0.1511072067
526	0.1510079689
527	0.1508453733
528	0.1507548124
529	0.150619021
530	0.1504379495
531	0.1502772868
532	0.1500923595
533	0.1498660701
534	0.1497797904
535	0.1496626055
536	0.1494042483
537	0.1493756328
538	0.1492012573
539	0.1490922481
540	0.149009469
541	0.1489075684
542	0.1487539158
543	0.1486616537
544	0.1484292593
545	0.1482823588
546	0.1481663349
547	0.1480393563
548	0.1477910608
549	0.147669217
550	0.1474461789
551	0.1471853505
552	0.1469731811
553	0.146888335
554	0.1467115356
555	0.1464679386
556	0.1463258673
557	0.1462192341
558	0.1461061643
559	0.1459303352
560	0.1457887838
561	0.145693731
562	0.1455996246
563	0.1454194063
564	0.1453209927
565	0.1452242472
566	0.1450766048
567	0.1448855484
568	0.1447503157
