key,b_upper,t,A,hg,he,hp,hs,hm,hi,b_downer
2c,2.6767732180851214,2.976232803931809,6.012415665854819,0.060282286779175985,0.06419129689572285,0.11222820264786687,0.1197573863565623,0.13164539403719863,0,1.3696877511755146
2d,2.843276844465998,2.984981724937547,6.498208336832675,0.10455489109481257,0.08653667330820583,0.0707178516113624,0.021317211176092966,0.22613977500051216,0,1.5982208788893082
3a,2.891534391534391,2.9656084656084656,6.982986198594664,0.09571786037831911,0.07286451610998887,0.20046122620174028,0.06084416077288946,0.29629629629629567,0,1.8624338624338623
